Number ,Time of the day,Speed,Weather ,Date,Plate State ,Color ,Type of Car,Collector Name
80,4:18: PM,33,Cloudy,4/9/2025,iL,Grey,Sedan,Tommy
81,4:18: PM,21,Cloudy,4/9/2025,IA,Black,Sedan,Tommy
82,4:19: PM,33,Cloudy,4/9/2025,IA,Red,SUV,Tommy
83,4:19: PM,31,Cloudy,4/9/2025,IL,Grey,Sedan,Tommy
84,4:20: PM,37,Cloudy,4/9/2025,IL,Grey,Truck,Tommy
85,4:20: PM,29,Cloudy,4/9/2025,IL,Black,SUV,Tommy
86,4:21: PM,30,Cloudy,4/9/2025,IA,Red,Sedan,Tommy
87,4:21: PM,31,Cloudy,4/9/2025,IL,Blue,Sedan,Tommy
88,4:22: PM,34,Cloudy,4/9/2025,IL,Grey,Sedan,Tommy
89,4:22: PM,39,Cloudy,4/9/2025,IL,Grey,SUV,Tommy
90,4:23: PM,32,Cloudy,4/9/2025,IL,White,Truck,Tommy
91,4:23: PM,34,Cloudy,4/9/2025,IL,Grey,SUV,Tommy
92,4:24: PM,30,Cloudy,4/9/2025,IL,Grey,Sedan,Tommy
93,4:24: PM,30,Cloudy,4/9/2025,IL,Red,Sedan,Tommy
94,4:25: PM,30,Cloudy,4/9/2025,IL,Black,Truck,Tommy
95,4:25: PM,36,Cloudy,4/9/2025,IL,White,Sedan,Tommy
96,4:26: PM,33,Cloudy,4/9/2025,IA,Grey,SUV,Tommy
97,4:26: PM,34,Cloudy,4/9/2025,IL,White,Sedan,Tommy
98,4:27: PM,24,Cloudy,4/9/2025,IL,Grey,Sedan,Tommy
99,4:27: PM,26,Cloudy,4/9/2025,IL,Black,SUV,Tommy
100,4:28: PM,32,Cloudy,4/9/2025,IL,Red,Truck,Tommy
101,4:28: PM,35,Cloudy,4/9/2025,IA,Grey,Truck,Tommy
102,4:29: PM,37,Cloudy,4/9/2025,IL,Blue,Sedan,Tommy
103,4:29: PM,37,Cloudy,4/9/2025,IL,Black,SUV,Tommy
104,4:30: PM,31,Cloudy,4/9/2025,IA,White,Truck,Tommy
105,4:30: PM,34,Cloudy,4/9/2025,IL,Grey,Sedan,Tommy
106,4:31: PM,31,Cloudy,4/9/2025,IL,Red,Sedan,Tommy
107,4:31: PM,28,Cloudy,4/9/2025,IA,Red,Sedan,Tommy
108,4:32: PM,30,Cloudy,4/9/2025,WI,White,Sedan,Tommy
109,4:32: PM,30,Cloudy,4/9/2025,IL,Grey,SUV,Tommy
110,4:33: PM,32,Cloudy,4/9/2025,IA,Blue,Truck,Tommy
111,4:33: PM,34,Cloudy,4/9/2025,IA,Grey,Sedan,Tommy
112,4:34: PM,38,Cloudy,4/9/2025,IL,White,Sedan,Tommy
113,4:34: PM,31,Cloudy,4/9/2025,IL,Black,Sedan,Tommy
114,4:35: PM,30,Cloudy,4/9/2025,IA,Red,Sedan,Tommy
115,4:35: PM,34,Cloudy,4/9/2025,IA,Grey,Sedan,Tommy
116,4:36: PM,36,Cloudy,4/9/2025,IA,Grey,SUV,Tommy
117,4:36: PM,31,Cloudy,4/9/2025,NY,White,SUV,Tommy
118,4:37: PM,26,Cloudy,4/9/2025,IL,White,Sedan,Tommy
119,4:37: PM,34,Cloudy,4/9/2025,IL,Black,Sedan,Tommy
120,4:38: PM,34,Cloudy,4/9/2025,IL,Blue,Truck,Tommy
121,4:38: PM,32,Cloudy,4/9/2025,IA,Red,SUV,Tommy
122,4:39: PM,34,Cloudy,4/9/2025,IA,White,Truck,Tommy
123,4:39: PM,34,Cloudy,4/9/2025,IA,Green,SUV,Tommy
124,4:40: PM,31,Cloudy,4/9/2025,IA,Grey,Sedan,Tommy
125,4:40: PM,32,Cloudy,4/9/2025,IA,Red,Truck,Tommy
126,4:41: PM,36,Cloudy,4/9/2025,IL,Black,SUV,Tommy
127,4:41: PM,32,Cloudy,4/9/2025,IL,White,Sedan,Tommy
128,4:42: PM,35,Cloudy,4/9/2025,IL,Grey,Truck,Tommy
129,4:42: PM,38,Cloudy,4/9/2025,IL,Black,Truck,Tommy
130,4:43: PM,34,Cloudy,4/9/2025,IA,White,SUV,Tommy
131,4:43: PM,36,Cloudy,4/9/2025,IA,Red,Sedan,Tommy
